2011년도,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내,국내
지역(서울),계,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울
구별,총계,종로,중구,용산,성동,광진,동대문,중랑,성북,강북,도봉,노원,은평,서대문,마포,양천,강서,구로,금천,영등포,동작,관악,서초,강남,송파,강동
 합계 ,"224,917","8,554","9,769","6,895","5,099","8,980","8,569","8,864","6,457","7,191","5,180","7,274","7,478","6,525","7,874","7,904","11,084","9,208","5,681","11,969","6,503","11,094","13,027","22,036","13,068","8,634"
