국내	구별	합계
국내	구별	합계
국내	구별	합계
2020	종로구	7,012
2020	중구	7,644
2020	용산구	6,164
2020	성동구	5,643
2020	광진구	7,434
2020	동대문구	7,622
2020	중랑구	7,247
2020	성북구	5,343
2020	강북구	5,902
2020	도봉구	4,672
2020	노원구	7,916
2020	은평구	7,141
2020	서대문구	5,630
2020	마포구	8,212
2020	양천구	6,823
2020	강서구	9,430
2020	구로구	8,800
2020	금천구	5,485
2020	영등포구	11,484
2020	동작구	6,351
2020	관악구	11,019
2020	서초구	12,759
2020	강남구	20,937
2020	송파구	12,503
2020	강동구	7,254
