2011년도,,,,,,,,,,,,,,,,
 전국 , 서울 , 부산 , 대구 , 인천 , 광주 , 대전 , 울산 , 경기도, 강원도, 충청북도, 충청남도, 전라북도, 전라남도, 경상북도, 경상남도, 제주도
 소계 ,"358,753","135,399","96,450","86,641","63,810","47,401","37,855","290,774","31,898","33,364","36,720","47,187","38,553","64,553","95,175","27,926"
