2020년도,,,,,,,,,,,,,,,,,,
총계/국적,한국,미국,중국,일본,몽골,베트남,태국,대만,러시아,방글라데시,스리랑카,우즈베키스탄,인도네시아,캐나다,키르기스스탄,필리핀,파키스탄,기타
 합계 ,"2,127,939","2,122","25,416",201,"1,648","3,825","3,285",629,"1,893",260,357,"2,450",292,385,223,609,470,"5,755"
